INTERVIEW_START_W55,ENVIR8_e_W55,EN7_W55,F_AGECAT,F_SEX,F_EDUCCAT,F_EDUCCAT2,F_PARTYSUM_FINAL
2019-10-05 19:08:00,2.0,2.0,3.0,2.0,1.0,5.0,2.0
2019-10-04 21:26:59,2.0,2.0,1.0,2.0,1.0,6.0,2.0
2019-10-09 02:36:00,2.0,1.0,2.0,2.0,1.0,5.0,2.0
2019-10-11 15:24:00,2.0,2.0,3.0,1.0,1.0,5.0,1.0
2019-10-03 22:55:00,1.0,4.0,2.0,1.0,1.0,5.0,1.0
2019-10-05 22:03:00,2.0,1.0,3.0,1.0,2.0,3.0,2.0
2019-10-04 03:12:00,2.0,1.0,3.0,1.0,2.0,3.0,2.0
2019-10-08 16:19:00,1.0,4.0,4.0,2.0,3.0,2.0,1.0
2019-10-09 15:41:00,3.0,2.0,3.0,2.0,1.0,5.0,1.0
2019-10-08 04:40:00,2.0,1.0,3.0,2.0,3.0,2.0,1.0
2019-10-08 09:38:00,3.0,2.0,4.0,2.0,3.0,1.0,9.0
2019-10-03 20:57:00,3.0,2.0,4.0,1.0,1.0,5.0,1.0
2019-10-07 18:03:00,3.0,4.0,2.0,2.0,2.0,3.0,9.0
2019-10-03 21:01:00,2.0,1.0,3.0,1.0,1.0,5.0,2.0
2019-10-08 12:45:00,1.0,2.0,2.0,1.0,1.0,6.0,1.0
2019-10-04 00:48:00,3.0,2.0,3.0,2.0,2.0,4.0,2.0
2019-10-03 21:08:00,2.0,1.0,3.0,1.0,2.0,3.0,2.0
2019-10-07 14:19:59,2.0,1.0,4.0,2.0,1.0,6.0,2.0
2019-10-07 18:25:00,3.0,2.0,3.0,1.0,1.0,5.0,1.0
2019-10-04 21:57:00,2.0,2.0,3.0,1.0,1.0,6.0,2.0
2019-10-06 13:49:59,3.0,99.0,4.0,1.0,1.0,6.0,1.0
2019-10-04 22:42:00,2.0,1.0,2.0,1.0,1.0,6.0,2.0
2019-10-05 17:41:59,2.0,1.0,3.0,2.0,1.0,6.0,2.0
2019-10-04 14:05:59,3.0,2.0,4.0,2.0,3.0,2.0,1.0
2019-10-03 21:10:00,2.0,1.0,2.0,1.0,1.0,5.0,2.0
2019-10-10 17:33:00,3.0,2.0,4.0,1.0,2.0,3.0,1.0
2019-10-05 16:31:00,2.0,3.0,3.0,2.0,2.0,3.0,2.0
2019-10-06 15:32:00,2.0,1.0,3.0,2.0,2.0,3.0,2.0
2019-10-05 20:23:00,2.0,1.0,4.0,2.0,1.0,5.0,2.0
2019-10-05 21:01:00,3.0,2.0,4.0,2.0,1.0,6.0,1.0
2019-10-08 16:10:00,2.0,1.0,4.0,1.0,1.0,5.0,2.0
2019-10-09 15:25:00,2.0,2.0,4.0,2.0,2.0,3.0,1.0
2019-10-06 11:34:59,3.0,3.0,3.0,1.0,2.0,4.0,1.0
2019-10-04 21:35:59,2.0,1.0,4.0,1.0,1.0,5.0,2.0
2019-10-03 22:42:00,1.0,3.0,4.0,1.0,2.0,3.0,1.0
2019-10-03 21:47:00,1.0,4.0,4.0,1.0,3.0,2.0,1.0
2019-10-05 18:00:00,2.0,1.0,3.0,2.0,1.0,5.0,2.0
2019-10-12 01:20:59,1.0,4.0,4.0,1.0,2.0,3.0,1.0
